text,sentiment_score,binary_sentiment
['Equity indexes working on a positive engulfing for March'],0.308,1
['Highest call to put ratio'],0.348,1
"['Oil slid to a four-year low after', '#OPEC kept its oil production unchange']",-0.369,0
['sideways'],0.000,1
['Unusual Call Activity'],0.421,1
"['green, lol... make-up to cover ugliness']",0.242,1
"['slight green', 'May be runner later']",0.328,1
['Pivotal sees 27% upside for Alphabet'],0.372,1
"['refuse', 'worst decisions ever']",-0.350,0
"['profitable hard and software', 'product innovator']",0.559,1
['$MSFT is opening up its #XboxLive online service'],0.225,1
['here we gooo'],0.268,1
['sold my 81 calls'],-0.312,0
"['at resistance right here', 'sold my shares']",-0.105,0
['Holding'],0.171,1
['Gevo Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight'],0.392,1
['stocks at support w/ high trade quality'],0.503,1
"[""finally broke free from big brother's shadow?""]",0.206,1
"['I like this Ascending Triangle', 'Breakout coming Monday', 'Looks promising']",0.478,1
"[""I'd be short $fast""]",-0.625,0
['In Play Longs'],0.273,1
['the most trending'],0.216,1
['Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets'],0.383,1
['out of $KRE'],-0.381,0
"['time to accumulate for a long position', 'far more upside than downside']",0.668,1
['No edge offered'],0.025,1
"['Oil To Break Out', 'Adding Chevron']",0.666,1
['Found some good bull setups this week'],0.448,1
['Sets Up for Breakout'],0.528,1
['Something big is gonna happen here'],0.000,1
['winning pick this week'],0.452,1
"['calls', 'popping 5%', 'Stock +1%']",0.472,1
['Double bottom 5.2'],0.230,1
['lets see one more dip'],-0.274,0
"['consistent gains but small', 'one of my favorite trade']",0.219,1
"['on cusp of a major bollinger breakout on daily', 'sitting right on its 200 day EMA the force is too strong', 'squeeze the shorts']",0.511,1
"['hanging tough in down market due to analyst upgrades', 'Up almost 3%']",0.394,1
"['Coal stocks are poking their head up', 'very nice weekly candle']",0.362,1
['Still holding'],0.581,1
"['is exceptionally bullish for Romney, the mkt, and the economy.']",0.421,1
['Mid-single digits EBITDA growth'],0.357,1
"['posts 60 percent jump in 4Q profit', 'steep global sales increase', 'tops Wall St. view']",0.586,1
['Loving BTU and the coal stocks in here'],0.437,1
"['watching paint dry', 'low volatility']",0.000,1
['Fundamentally nothing has changed'],0.198,1
['Stares Into the Abyss'],-0.325,0
['Smartphone Wars Wound Samsung'],0.283,1
"['where the growth is', 'not a High P.E. stock']",0.252,1
['long this morning'],0.476,1
"['took my proprietary profit exit', ""didn't like the option liquidity"", 'ousy spreads']",-0.334,0
['$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.'],0.012,1
['has gained an average of 0.9% a week for the last nine years'],0.279,1
['eyeing $RA w take-over interest'],0.041,1
"['added to our $GILD position', 'started a new one in $BWLD']",0.408,1
['Investor long-term stock recommendation'],0.557,1
['EPS growth is around 12% so far'],0.316,1
['easonably priced high growth institutional fave glamour name that is going at least 30% higher'],0.342,1
['Bull Of The Day'],0.769,1
"[""Let's go up Gilead""]",0.328,1
['European Debt once again Keeps Stocks Down'],-0.374,0
"['Nice little cup-and-handle shaping up', 'favours a good day for the index']",0.342,1
['bail out'],0.058,1
['I dumped $PYPL and $PRLB'],-0.506,0
['Top #NetPayoutYields'],0.426,1
"['CFO Sees Profitability From', 'Cash Flow Positive From']",0.211,1
['Price Target Raised'],0.269,1
['So sad to see such a loved company eating dirt.'],-0.453,0
['is up 19%'],0.309,1
['have cash to burn.'],0.356,1
['Downbeaten stocks may be ripe for buys'],0.316,1
['Strictly day trading this one long and short off 5 minute'],0.035,1
['Aggressive Buy'],0.306,1
"['Long', 'favorite covered call', 'double dip dividend play.', 'touting']",0.444,1
"['close above 28.64', 'we are ready to rock and roll']",0.308,1
['Will this cold put a dent in the massive horizontal rig production'],-0.237,0
"['Long', 'look like a 5-10% run awaits']",0.394,1
"['Over the TL it can go to 114, below it can go to 90.']",0.000,1
['accumulating more $BSMX on any pullback'],0.417,1
['record number of passengers served in 2015'],0.638,1
['then trail up.'],0.236,1
['Bullshit! All #AppleStores are EMPTY in #China'],-0.329,0
['downgrade'],-0.463,0
['another strong rail today after breaking intraday resistance'],0.468,1
"[""Heard Netflix is raising its prices. It's all good it's worth it though""]",0.275,1
['yet not that much (price) has changed'],0.036,1
['stocks insiders are bullish on'],0.433,1
['Markets Are Still Acting Weak'],-0.443,0
['Top #NetPayoutYields'],0.426,1
['S1 above gap. keeping an eye on S2'],0.346,1
['shorts likely to take profits into close'],-0.503,0
['I see no reason to sell yet'],-0.093,0
['ripping early'],0.325,1
['Keeping my stops a bit on the tight side'],0.135,1
"['Receives 7-Year, $50M Contract']",0.497,1
['splat! poor Q1 orders'],-0.453,0
"['With Oil Prices Down further, Oil Stocks Looking Less Cheap']",-0.420,0
['Finding Support'],0.259,1
[''],0.000,1
[''],0.406,1
['$GOOGL patents turn signal detector for autonomous cars.'],0.393,1
"['wants lower', 'up waves getting smaller']",-0.370,0
['add in'],0.354,1
['I see a 20 percent upside in $FB shares from here'],0.589,1
"['great growth stk & also raised dividend', 'clearly a great investment']",0.597,1
"['$ENDP being sued by FT', 'nobody will buy them with that hanging over their heads']",-0.602,0
['Breaking 52 week highs timing looks great now'],0.419,1
['LargeCap Growth fundholders get lift'],0.597,1
"['progress witnessed', 'truly stunning']",0.436,1
['trying to drag $bidu with it.'],-0.524,0
['60% short interest or not'],-0.315,0
['The momo leaders are taken down one by one'],-0.351,0
['Stochastic Overbought'],-0.385,0
['new squeeze plays'],-0.339,0
['Active puts'],-0.490,0
['Mulls Sale of $1 Billion Venture Capital Portfolio'],0.295,1
['strong buy within a month'],0.119,1
"[""Buy these 3 stocks while there's blood in the streets""]",0.415,1
"[""I'm watching(and buy targets)""]",0.344,1
['$YHOO have lost 50% since Nov 14'],-0.422,0
"[""wouldn't be surprised to see a green close""]",0.416,1
"['Failed breakouts & failed setups', 'Limping on crutches into next week']",-0.419,0
['high-flyers have been falling'],-0.501,0
['decision to sell robot business exposes growing pains'],-0.289,0
['stocks insiders are bullish on'],0.433,1
['Drop expected'],-0.002,0
['Upgraded to a buy by Alpha Street Research'],0.715,1
['Worth a chance here'],0.145,1
"['Rally Friday!', '#new52weekhighs', 'p over 31%']",0.660,1
['expects to break even'],0.219,1
['all higher'],0.295,1
['Adobe Receives New Rating from Top Analyst'],0.141,1
['alot to worry about'],-0.319,0
['We See More Reasons To Be Cautious'],-0.093,0
['huge buy in all these names'],0.608,1
"['$MSFT', 'higher than I expected']",0.430,1
['but Verizon is still the bidder to beat'],0.404,1
"['Could the pride of social media be gettin ready to fall?', 'chart rolling over?']",-0.287,0
"['gold going parabolic', 'keep chasing those tops boys']",0.442,1
"['hold through all the media BS and you will be profitable', 'patience is key']",0.543,1
['Biggest Market Losers'],-0.438,0
"['#sectorbreadth Strongest sector is Industrials', '86% bullishness']",0.545,1
['uch a bloated valuation'],-0.536,0
['I Love blood like a vampire.....Keep bleeding for me'],-0.391,0
['$FB and $IBB still weak'],-0.355,0
['Bull Candle'],0.335,1
['$IEF bullish'],0.423,1
['best scenario going forward is this stock slowly falling everyday'],-0.264,0
"['plus its Irish based', ' getting rid of its generic biz']",0.146,1
"[""Today's losers""]",-0.317,0
"[""If that's what you want then buy some""]",0.245,1
['Just sold 2 Apr-22 115 calls'],-0.024,0
['Stochastic Overbought'],-0.385,0
['Long Position on'],0.674,1
['new HOD'],0.432,1
['LONGS'],0.511,1
"['beat', 'up AH']",0.284,1
['down 25% since Tue morning.'],-0.527,0
"['10% Dividend Increase Rewards Patient Investors', 'The Future Looks Bright']",0.484,1
['Go Long until exp imo'],0.414,1
['remember when Zuck in 2010 told us he was going to fix email with it?'],0.091,1
"['Bought a little yesterda', 'hoping for an earnings pop.']",0.562,1
"['long term uptrend', 'broke 4 year resistance', 'looks primed for further upside']",0.530,1
['Sets Up for Breakout'],0.528,1
['picked up $CALM'],0.470,1
"['advance', 'announce licensing agreement']",0.604,1
['gets a patent and goes up .20 today'],0.432,1
"[""Don't like"", 'Neither does Wall Street', 'fell the most']",-0.483,0
['GALE stacks up poorly from an insider ownership'],-0.314,0
['Nice day rally!'],0.529,1
['#oversold'],0.406,1
['Took a small position'],0.344,1
['Continues to base on the weekly chart'],-0.047,0
['amazon just signed a deal to lease 20 Boeing 767 cargo planes'],0.396,1
"[""Today's losers""]",-0.317,0
['up $5.80'],0.334,1
['EPS growth is around 12% so far'],0.316,1
"['may not be bad', 'great stocks to trade', 'making new highs']",0.081,1
['Top #NetPayoutYields'],0.426,1
['next major platform'],0.374,1
['Dailymail content is perfect for YHOO demographics'],0.153,1
"['investors are nervous about outlook, as they should be.']",-0.357,0
['Money flow positive'],0.322,1
['Electronic Arts attracts more investors'],0.409,1
['Biggest Market Losers'],-0.438,0
['down 5.43 %'],-0.392,0
['Multiple expansion intact as well!'],0.281,1
['Added $REGN at 402'],0.589,1
['PLUNGING! Back to'],-0.628,0
['running'],0.284,1
['Add to $FXP $SKF positions'],0.501,1
['get ready for the 560 *flush*'],-0.264,0
['It Needs A New Tablet Strategy'],-0.195,0
['Taking some profits'],-0.142,0
['Down day for all biotechs Good to load up'],0.281,1
['still loving it today'],0.385,1
['Breaking 52 week highs timing looks great now'],0.419,1
['Timberrrr'],-0.562,0
['The Best Stocks for 2012'],0.463,1
['double bottom could be in'],0.271,1
['3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating'],0.214,1
['still having some trouble at the resistance line'],0.071,1
['Accumulation chart continues to make new highs showing accumulation continuing to take place'],0.497,1
['Apple hires former Amazon executive George Stathakopoulos as head of corporate data security'],0.146,1
['has been slipping'],-0.245,0
['bullish reversal setup and breakout'],0.441,1
['Near HOD'],0.366,1
"[""Moody's downgrade""]",-0.299,0
['Markets Back in Black for 2016'],0.271,1
['this one is looking beat up and interesting'],-0.084,0
"['$amd is a two dollar spec play', 'Ur penny scalps cost u w/IRS']",-0.163,0
"['SELL signal by $NDX internals', 'technical SELL']",-0.501,0
['starting to creep up'],-0.014,0
['invest in elon'],0.327,1
['Still have my position'],0.381,1
"['minuscule 0.09% gain in $ZIV', 'Lost most of our handsome gains on Friday']",-0.059,0
['airlines battle for Cuba routes $AAL $LUV $SAVE $JBLU'],0.092,1
['Receivable going to zero'],-0.343,0
['Cisco also lower'],-0.416,0
['Bullish MA Crossovers'],0.457,1
['sell $RHT'],-0.591,0
['In Play Longs'],0.273,1
['next 5-6 charts illustrate a bullish weekly outcome'],0.119,1
['I would buy some wtsl at these prices'],0.193,1
['more positive comments from $MS'],0.426,1
['volume footprint looks great'],-0.097,0
['Drugs and Biotech Getting Perky'],0.387,1
"['wants to ta', 'CEO says taxes may make co leave']",-0.265,0
['companies shld be worried about iCloud'],-0.329,0
['negative P&L on hardware'],-0.387,0
['eyes more disposals in bid to appease City backers'],0.286,1
['gap fill 53.53 still waiting.'],0.085,1
['long'],0.488,1
['Pie In The Sky'],0.365,1
"['afternoon selloff as usual will be brutal', 'get ready to lose a ton of money.']",-0.569,0
"['Short more ', 'markets will tank now']",-0.605,0
"['Has a great cash balance', 'impressive growth rate']",0.493,1
"['calls for nice gains', 'Still holding', 'Week made in a morning']",0.396,1
['Top holdings'],0.311,1
['getting out of his'],-0.374,0
['strong 5min @above bollies'],0.235,1
['near a buy point last week'],0.093,1
['Google Will Soon Start Selling Chromebooks At Walmart And Staples'],0.340,1
['broke out now of his bull flag channel and make new highs'],0.369,1
['start strong finish weak'],-0.086,0
['Services like $NFLX and #Hulu are growing much faster than cable'],0.364,1
['top stocks'],0.376,1
['Goldman Sachs reiterates conviction buy on'],0.622,1
['$AAPL max pain'],-0.063,0
"['With Oil Prices Down further, Oil Stocks Looking Less Cheap']",-0.420,0
['got some more'],0.295,1
['Favorite Stocks'],0.401,1
['BUY'],0.437,1
['run run $AMZN up 4.4% now'],0.477,1
['consumers keep cautious stance'],-0.258,0
"['all on a longer-term, technical swing long basis.']",0.591,1
['$FB is taking the shine off $AAPL and $GOOG'],-0.130,0
['broken out of a major horizontal resistance'],0.345,1
['Pie In The Sky'],0.365,1
['Balancing ROIC and growth to create value'],0.334,1
['Locked in some $FB puts for nice gain'],-0.524,0
"[""we close around $34 it's a good sign"", 'Tom we can continue upwards!!']",0.494,1
['$NFLX more positive comments from $MS'],0.085,1
['Stochastic Overbought'],-0.516,0
"['not all time low , been lower']",-0.268,0
"['if one is to go long, money rotating into large cap tech']",0.383,1
"['looks great', 'bullish']",0.396,1
['starting to show some relative strength'],0.334,1
['Time to stomp on some dreams.'],-0.258,0
['If positive outcome w/ lung study5/8 we may see a 13D Filing by Soros'],0.330,1
['more test of 12.85 coming up'],0.152,1
['RSI lowest level since October 2012'],0.165,1
['Long setup'],0.438,1
['Baird Upgrades Tesla Motors $TSLA to Outperform'],0.520,1
"['my 18 year old and 14 year old are never on $FB ', 'Their mom and grandmas are though']",-0.258,0
['Sector Stocks Leading Today'],0.454,1
['$YOKU 0'],0.000,1
['may not be as secure'],-0.308,0
['The Best Stocks for 2012'],0.463,1
"['Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2']",0.509,1
"[""today's momentum movers""]",0.282,1
['Google Will Soon Start Selling Chromebooks At Walmart And Staples'],0.196,1
['Found some good bull setups this week'],0.448,1
['holding up relatively well compared to the broad market'],0.394,1
['less than stellar day but it held the 50 day moving average'],-0.140,0
['A beautifully orchestrated marke'],0.152,1
['up 7$'],0.177,1
['Cures 96% of Hard-to-Treat'],0.534,1
"['Long', 'buying point']",0.230,1
[''],0.000,1
['let it run'],0.473,1
['Yahoo extends bidding deadline as interest grows'],0.329,1
[''],-0.272,0
['Today I bought more'],0.087,1
['you will enjoy the bull run that just started'],0.376,1
['Issues Statement On Debt Ceiling'],-0.341,0
"[""there's a good short spot""]",-0.434,0
"['Worst performers today', ' $MGM $IO -6%']",-0.365,0
['Insiders Are Selling'],-0.351,0
['good news for domestic automakers'],0.413,1
['can ONE of the cheerleaders show me actual valuation work'],-0.205,0
['up to $95 after market!'],0.342,1
['Buying on Weakness'],0.511,1
['Three of my hot stocks today'],0.461,1
['Ready for Take OFF!'],0.472,1
"[""Report: Apple signs up for Google's cloud""]",0.150,1
['Short Setups Looking Nice....Really Nice'],-0.464,0
['short $MBLY'],-0.606,0
['will push $NLY investment to another time'],-0.255,0
['Notable gainers among liquid option names this morning'],0.513,1
['looking to add a gold miner and possibly lower pe tech name into close'],0.425,1
['point at a possible move up'],0.176,1
['they let the stock fall big time after earnings'],-0.455,0
['not selling before'],0.221,1
['tremendous opportunity awaits'],0.456,1
"['up 10% in premarket', 'ready for lift off']",0.507,1
['the overall market improve'],0.433,1
['gots some $AEZS this morning'],0.514,1
['Erinn Murphy of Piper Jaffray thinks $FINL is a BUY'],0.501,1
"['longer term top building', 'now a quickie short']",0.099,1
['debt crisis entered a dangerous new phase'],-0.331,0
['$MU may go down 6% if the bear pattern is confirmed'],-0.404,0
"['looking good', 'Note that it broke this area on lighter volume']",0.255,1
['cracking'],-0.118,0
['Bullish MA Crossovers'],0.457,1
"['still an interesting finance play', ""been in this one since the 14's- hold""]",0.305,1
"['broke the downtrend line', 'ready to launch through the 200 day moving average']",0.309,1
['some of the stocks that came up on screens for longs'],0.431,1
['Defying the Downturn'],0.407,1
['soars pre-market'],0.340,1
['This stock is a buy'],0.498,1
['PAIN'],-0.400,0
['hi beta hi performers'],0.384,1
['in trouble ? is that earnings gap still unfilled ?'],-0.368,0
"['calls for nice gains', 'Still holding', 'Week made in a morning']",0.396,1
"['Long', 'look like a 5-10% run awaits']",0.394,1
"['bull move ended', 'waiting for next setup']",-0.204,0
['trying to lead higher here'],0.256,1
['bought back more shares here today'],0.243,1
"['getting very close to 200 MA of 110.87, has not closed above 200 MA since July 31, 2015. If / when it does, will be significant.']",0.218,1
"['addding tsla ss , added small vrx long $TSLA $VRX']",0.394,1
['sold xoma'],-0.281,0
['nice blurb for $BBRY'],0.183,1
['What a nice reversal.'],0.318,1
"[""I'm watching(and buy targets)""]",0.344,1
"[""Don't catch falling knives""]",0.286,1
['Barclays signs on to Apple Pay'],0.354,1
['looking weak'],-0.352,0
['Markets Are Still Acting Weak'],-0.443,0
"['short/put positions looking good here', 'Wait for market downturn to confirm']",-0.485,0
['bullish $NFLX day trade setup'],0.422,1
['Unusual Call Activity'],0.332,1
['Institutions seem to like this class of stocks'],0.422,1
"['loading $SPY and $AAPL puts', 'think were toppy']",-0.537,0
['watch $TSLA > 34.5'],0.339,1
['still in bear market'],-0.421,0
['China winners'],0.452,1
['stock options trade would have more than doubled your money'],0.294,1
"['master class on how to conquer mobile', 'astonishing', 'turned their fortunes around']",0.419,1
['got hit hard lower this AM'],-0.551,0
['biggies must be loading up here at lows'],0.438,1
['has a hard to diminish lead'],0.262,1
['Inverse Head and Shoulders forming'],0.394,1
['weak outlook'],-0.034,0
"['Indices are rallying today', ""a lot of the 'highly covered companies' are underperforming""]",-0.193,0
['$GPRO up'],0.619,1
['Embarrassing China numbers'],-0.312,0
['Possible target'],0.162,1
"['Rally Friday!', '#new52weekhighs', 'p over 31%']",0.660,1
"['Long setup', 'Closed above the 20MA']",0.444,1
"['CLOSED GREEN!!!!', 'BULLISH!']",0.622,1
[''],0.000,1
['bumping its head on declining daily 8ma as overhead resistance'],-0.350,0
"[""At least you didn't stop out""]",-0.222,0
['finds support'],0.504,1
['Long-Term Potential Robust'],0.249,1
['hopefully peeps shorting $CAMT for scalps'],-0.360,0
['Now it is time to short $TSLA'],-0.385,0
['keep stock on your watch list'],0.271,1
['gap up tomorrow'],0.439,1
"['demand ahead', 'strongest growth']",0.532,1
['Our updated #core4 portfolio'],0.452,1
['new HOD with conviction keeping $570 on watch for Resistance'],0.529,1
['long the market'],0.525,1
['acting tough on big volume against the tape'],0.243,1
['Best outperformers ranked'],0.492,1
['Infection worries prompt regulatory reviews'],-0.401,0
"['Back to Back intraday reversals', 'look out below', 'Shorts moving in!']",-0.530,0
['Weekly 625 calls now +42.31%'],0.144,1
['has been a bull and $gld a bear'],0.000,1
['Watchlist Top Stocks'],0.342,1
"['I would consider this opportunity to add my position', 'company is on the right track they are still improving sales']",0.401,1
['Markets Are Still Acting Weak'],-0.443,0
['bear flag'],-0.535,0
['took some $ENDP long this am'],0.613,1
['Yes buy everything up'],0.829,1
['Brent back below 49'],-0.353,0
['A Premier Retail Dividend Play'],0.354,1
"['beat', 'up AH']",0.284,1
"['shipments slid -9.6% to lowest quarterly total since 2007', 'dethrones']",-0.336,0
['long'],0.537,1
['Bullish MA Crossovers'],0.457,1
['the most trending'],0.216,1
['Unusual Call Activity'],0.421,1
['Nice day rally!'],0.529,1
['Added long at friday close'],0.513,1
"['Looks like might break down', ""I'm out""]",-0.516,0
"['Long over 3.95/great find - hope that wold be another $ANLY or $PZZI, still holding second 1/2']",0.509,1
['Pushing Channel Development'],0.458,1
['bot $EZPW'],0.437,1
"['Like this >', 'trade to 200 sma']",0.374,1
['short'],-0.633,0
['CHUNK OF DEC $35 PUTS BOUGHT AT'],-0.601,0
['Not Time To Buy'],-0.382,0
['round 2 short'],-0.438,0
"['580+ should be coming very quick, if the FED supports the markets 610']",0.296,1
['debt crisis entered a dangerous new phase'],-0.331,0
['some of the stocks that came up on screens for longs'],0.431,1
['Sector Stocks Leading Today'],0.454,1
['short the market'],-0.541,0
['Airplane And Hospitality Industries Set Their Sights On #Cuba'],0.405,1
"['Over 16 with conviction', "" I'm a buyer"", 'good for ride to 20']",0.585,1
['$NFLX at $44B'],0.215,1
['Seeing Competition'],-0.216,0
"['Some competitors worry that BlackBerry is the inevitable successor to Northern Telecom', 'much more competent leadership']",0.270,1
['Moved Upper Bollinger Band'],0.498,1
['Unusual Call Activity'],0.332,1
['4 shorts only'],-0.530,0
['TOP 5 STOCK PICKS'],0.414,1
['tired of seeing this go down'],-0.085,0
"['ascending base breakout starting to gain traction', 'strong stock']",0.733,1
['have enjoyed shorting Anglo these last few weeks'],-0.269,0
['Top holdings'],0.311,1
['$AAPL cleary surpassed their BB'],-0.274,0
['all going down'],-0.559,0
['Stochastic Overbought'],-0.385,0
['Expands Share Repurchase Program'],0.285,1
"['Play safe, be long', ""Just make sure you don't go long with all your money.""]",0.335,1
['Covered'],0.128,1
"['Bullish yeah', '$EWZ']",0.393,1
['Closed short position'],0.143,1
['Why $TWTR is doomed in 1 chart'],-0.027,0
['New RSI signal created on $COST - Buy'],0.497,1
"['Global PC shipments fell 9.6% in Q1', '$MSFT destroyed the PC market']",-0.152,0
['holding up well today'],0.318,1
['Unusual Call Activity'],0.421,1
['all higher'],0.293,1
"['Deutsche Bank: cuts #Starbucks to Hold', 'premium valuation']",-0.170,0
['stocks at support w/ high trade quality'],0.503,1
['gapping up to all time highs'],0.782,1
['downgrade'],-0.463,0
['NetApp downgraded by Macquarie to underperform'],-0.574,0
['short the $TSLA'],-0.603,0
"['shipments slid -9.6% to lowest quarterly total since 2007', 'dethrones']",-0.295,0
"['Fed cuts rates forecast', 'Our calls go 100%']",0.449,1
"['lost revenue', 'not good']",-0.430,0
['Finding Support'],0.259,1
"['confirmation is a hold ', 'bottom looks like']",0.259,1
"[""Sounds like we'll see some green tomorrow""]",0.395,1
['closed Friday with the RS line in new highs'],0.371,1
"['Beautiful trend/base', 'all technicals pointing up', 'Solid accumulation', 'Looks good']",0.645,1
['Airplane And Hospitality Industries Set Their Sights On #Cuba'],0.405,1
['$AAPL signs up with Google cloud'],-0.403,0
"['heading back down to', 'Not sure where this goes from here without news']",-0.250,0
['over 225 million new Internet users are being added globally every year'],0.337,1
['Unusual call buying'],0.336,1
['obby against Judge Garland or they risk losing the case'],-0.261,0
['probably long'],0.290,1
['Unusual Call Activity'],0.421,1
['Loooooongggggg base'],0.557,1
['$PYPL w/ a solid start in #ecommerce checkout'],0.375,1
"['want to go this morning', ""it's about time looking at the chart""]",0.280,1
['breaking out'],0.068,1
"['Nobody is recommending the sale of this stock', 'Big things coming']",0.623,1
"['all on a longer-term, technical swing long basis.']",0.591,1
['buying my last round of shorts next week'],-0.339,0
['This stock is such a winner'],0.451,1
['Pivotal upgrades Alphabet ahead of Q1 results'],0.530,1
['Monday sold'],-0.370,0
['only those with the stomach for high risk are left'],-0.151,0
['Men sell $SVXY puts'],0.092,1
['was still up on the screen'],0.377,1
"['some upside today', 'If there is catalyst for this guy. It can run']",0.254,1
['shorts made a killing last couple days'],-0.529,0
['Will be looking to add shares if we get a new high breakout'],0.421,1
['atching SPY 60 min STO for a push'],-0.035,0
['#whisperbeat'],0.619,1
['BMW entering into ride-share market with i3'],0.399,1
"['Rally Friday!', '#new52weekhighs', 'p over 31%']",0.660,1
['staying strong'],0.532,1
['Can $TSLA roll over yet?'],-0.212,0
['Stock Receives Ratings Downgrade Today at Jefferies'],-0.501,0
"['Looks weak now', 'Stay Short in SPY till then.']",-0.504,0
"['small pos, short 180 wkly puts']",-0.597,0
['downward trendline'],-0.143,0
"[""isn't cheap"", ""Wake me up when it's in the 20s, then it's worth a look.""]",-0.353,0
['they have real assets'],0.432,1
['Finding Support'],0.259,1
"[""Buy these 3 stocks while there's blood in the streets""]",0.415,1
['Risky move'],-0.078,0
['Great short entry right now'],-0.461,0
"['Google, Inc. completes acquisition of ICOA']",0.267,1
['Stocks Higher In Afternoon Trade'],0.314,1
['Looking for continuation with volume increase'],0.308,1
['Top #NetPayoutYields'],0.426,1
['actively Head & Shoulder in progress'],-0.222,0
"['with personal story sharing declining', 'will $FB feeds start to look more like $TWTR']",-0.572,0
['worst performers'],-0.244,0
['not dipping - testing the 200 day ma'],0.281,1
['Bad Apple'],-0.392,0
[''],0.000,1
['should reward better on good earnings'],0.326,1
['daily sales slowing again'],-0.105,0
['In play tmrw'],0.805,1
['Sector Stocks Leading Today'],0.454,1
['bidding war picks up for the company'],0.391,1
"['is now beaten down, hated']",-0.303,0
['China winners'],0.452,1
['Announces Record #Esports Viewership'],0.208,1
"['shares up ~7% after hours', 'beats by']",0.552,1
"['seriously nothing says strong growth like', 'well played']",0.312,1
['Call credit spread'],0.311,1
"['they are hitting everything in sight.', 'short it']",-0.504,0
['bought 3500 shares today!'],0.738,1
['LNKD is great but doesnt the potential side with Fb'],0.283,1
"['short somewhere in the high', 'his thing will b short to $3 soon']",-0.526,0
['#iPhone is really annoying.'],-0.398,0
['Bought more - Bought $FB at'],0.506,1
['only a 50% gain from these levels'],-0.220,0
['companies shld be worried about iCloud'],-0.329,0
"['indicators turning up', 'Bounced off support']",0.351,1
"['US Adds 321K Jobs In November', 'Unemployment Rate Remains At ', 'Gold Futures off']",0.183,1
['massive logistics capex result in missed earnings'],-0.324,0
['great company'],0.408,1
['long $AAPL'],0.648,1
['on the move up again'],0.483,1
"['ooks like nice risk/reward for starting to initiate a position', 'looks like nice risk/reward for starting to initiate a position']",0.309,1
['Favorite Stocks'],0.401,1
['start strong finish weak'],-0.086,0
['buy $WFM'],0.474,1
['Elon Musk Comparision Of $TSLA With $AAPL Does not Go Well'],-0.277,0
['run run $AMZN up 4.4% now'],0.482,1
['Covered Call'],0.329,1
['earnings were good'],0.336,1
['tremendous opportunity awaits'],0.384,1
['downgrade'],-0.463,0
['$FB and $IBB still weak'],-0.373,0
['Dividend Hike Green Light'],0.316,1
['guess everyone wants 620'],0.239,1
['Good to load up Be confident'],0.281,1
['long'],0.388,1
['Aggressive Buy'],0.306,1
['Highest call to put ratio'],0.348,1
['short'],-0.339,0
"['As for $TWTR, no words.']",-0.188,0
"['Stream too bullish', 'you are going against the biggest BILLIONS']",0.492,1
['nice in an out couple mini trades'],0.121,1
"['Short 61.8% Retracement', 'Trendline and Resistance']",-0.371,0
"['$TSLA recall', 'after I cover my short.', ' that sounds about right']",-0.381,0
['breakouts'],0.627,1
['Looking for a oversold bounce'],0.436,1
"['topping tail', 'short from here']",-0.640,0
['NaturalGas Settles At 3-year Low'],-0.563,0
"['its a decent Co should get bought', 'Got in at $4.50']",0.214,1
"[""doesn't make any real money"", 'hey barely hang on', "" bux it's not worth it""]",-0.163,0
"['Long', 'buying point']",0.230,1
['no trade for now'],0.123,1
['support 212.93 no support to 209.45'],0.166,1
['$AAPL a new long IF 110.61 is broke'],0.172,1
['Analysts impressed with progress'],0.474,1
['#offshoring #jobs & #production'],0.228,1
['stocks insiders are bullish on'],0.433,1
['Time to stomp on some dreams.'],-0.258,0
['Biggest gainers today large caps'],0.432,1
['great short setting up'],-0.406,0
['holding up well today'],0.318,1
['stocks insiders are bullish on'],0.433,1
['$TSLA dump!'],-0.866,0
['Highest call to put ratio'],0.348,1
"[""Don't short this stock""]",0.402,1
['There is massive short squeeze opportunity here'],-0.104,0
['with ex-dividend coming it will fall more'],-0.411,0
['Impressive numbers'],0.443,1
['Micron Shares Pounded On Fears Of Loss Of Business From Apple'],0.071,1
"[""Today's losers""]",-0.317,0
['Covered all my $sina shorts'],0.047,1
['$GRPN might be selling off ahead of $P earnings'],-0.411,0
['I am excited about all these plays'],0.322,1
['I sold $TSLA'],-0.348,0
"[""I've been picking up railroad stocks for the retirement acct""]",0.441,1
['LONGS'],0.511,1
['2 retailers whose stocks I own'],0.227,1
['downgrade'],-0.463,0
"['$TOL', 'Higher']",0.353,1
['75k just went through on the ask'],-0.167,0
['Bottom Losses'],-0.575,0
['short didnt work out'],0.378,1
['Best outperformers ranked'],0.492,1
"[""$TSLA is the only 'auto' stock showing a gain year-to-date""]",-0.347,0
['breakout very likely'],0.518,1
['my buddy bet the bank'],0.432,1
['all going down'],-0.559,0
['Considering Bid'],0.210,1
['Almost an outside day down'],-0.274,0
['5 Toxic Stocks Raising Red Flags to Sell'],-0.826,0
['high risk but could be a sweet ST runner once the jigginess exits'],0.322,1
['is waking up'],0.192,1
['Not Time To Buy'],-0.382,0
['trying to lead higher here'],0.256,1
