"id","company","title","sentiment score"
"337","Reed Elsevier","Reed Elsevier shares cool after profit dip","-0.369"
"338","BAE Systems","BAE Systems lines up oil exec Woodburn as next CEO -source","0.074"
"339","Diageo","Diageo share price: Group issues half-year update","0"
"340","Diageo","CompaniesDiageo moves CFO to lead North American business","0"
"341","Lloyds","RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says","-0.2"
"342","Legal & General Group Plc","Legal & General share price: Finance chief to step down","-0.166"
"343","London Stock Exchange Group","CompaniesLSE adds ex-SEC head Schapiro to board","0.076"
"344","SABMiller","European shares fall on Chinese import data, SABMiller soars","0.353"
"345","Schroders","News FeedSchroders books solid earnings growth, several board changes","0.5"
"346","Valeant Pharmaceuticals International","Valeant, AstraZeneca strike psoriasis drug deal","0.238"
"347","Barclays","Barclays considers acquisition to help split off retail arm","0.252"
"348","Barclays","CFTC fines Barclays $560000 for inaccurate swaps position reports","-0.732"
"349","Deutsche Boerse","Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter","0.146"
"350","Tesco PLC","Tesco turnaround gathers pace under new CEO","0.426"
"351","Tesco PLC","Tesco, Asda sales fall as march of the discounters continues: Kantar","-0.398"
"352","Glencore","METALS-Zinc soars 10 pct, fuelling metals surge after Glencore cuts output","0.253"
"353","BP","BP cuts capex for third time this year to deal with weak oil","-0.268"
"354","AstraZeneca","Aspen to Buy Anaesthetics From AstraZeneca for $520 Million","0.395"
"355","Sainsbury's","Sainsbury chief warns of squeeze on high street retailers","-0.397"
"356","Shell","US sanctions put Gazprom-Shell alliance plans in jeopardy","-0.314"
"357","Shell","UPDATE 6-Royal Dutch Shell pulls plug on Arctic exploration","-0.407"
"358","AB InBev","AB InBev to Sell SABMiller Stake in China's Snow Beer","0.004"
"359","Persimmon","Persimmon share price climbs on 23% rise in full-year revenue","0.975"
"360","Royal Mail","Royal Mail hands chief executive Moya Greene a 13% rise in her pay package","0.053"
"361","Travis Perkins","Travis Perkins to create 4000 jobs","0.53"
"362","London Stock Exchange Group","LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk","-0.415"
"363","Lloyds Banking Group PLC","Britain cuts Lloyds Banking Group stake to below 17 pct","-0.317"
"364","HSBC","LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise","0.543"
"365","BP","BP Reports $583 Million Loss in First Quarter","-0.741"
"366","William Hill","Britain's FTSE led lower by ITV, William Hill","-0.637"
"367","JP Morgan","Barclays set to name former JPMorgan banker Staley as new CEO","0"
"368","BHS","Friday Papers: Sir Philip Green sells BHS for Â£1","0.157"
"369","Berkshire","Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo","0.25"
"370","CaixaBank","Spain's CaixaBank Expects To Close Deal For Banco BPI","0.375"
"371","Kraft Heinz","How Kraft-Heinz Merger Came Together in Speedy 10 Weeks","0.214"
"372","Persimmon","Persimmon revenues lifted 12% by post-election confidence","0.384"
"373","Aviva plc","REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm","0.163"
"374","BP","US urges final approval of $20 billion BP oil spill pact","-0.355"
"375","Gleneagles Hotel","Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group","0.237"
"376","GSK","UPDATE 1-GSK-linked investigator freed early from China jail - source","0.2"
"377","Tesco PLC","FTSE hits three-week low as financials, Tesco fall","-0.612"
"378","Deutsche Boerse","LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk","-0.473"
"379","Weir Group","Weir Group offloads two renewables units","0.09"
"380","Aggreko","Aggreko says first half profits will be lower as the oil price rout claims its latest victim","-0.546"
"381","Weir Group","Industry NewsRevenue, earnings take a tumble at Weir Group","-0.627"
"382","Ashtead","News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...","0.461"
"383","EasyJet","Sharm el-Sheikh travel disruption: British Airways, EasyJet, Thomson and ...","-0.6"
"384","London Stock Exchange Group","London stock exchange shareholders vote on merger deal under Brexit cloud","-0.359"
"385","AstraZeneca","UPDATE: AstraZeneca's Selumetinib Gets Orphan Drug Label, Good AZD9291 ...","0.289"
"386","Intercontinental Exchange","Intercontinental Exchange Opts Not to Bid for London Stock Exchange","-0.127"
"387","Tesco","Dave Lewis paid Â£4.1m for first 6 months at Tesco","-0.15"
"388","Weir Group","Weir Group says first-half profits will be 'slightly ahead' of expectations","0.323"
"389","Glencore","Glencore Sells $2.5 Billion Stake in Agriculture Unit","0.259"
"390","AstraZeneca","AstraZeneca : FDA Panel Reviews Savor Study Results For Onglyza ...","0.075"
"391","Hargreaves Lansdown","Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent","0.571"
"392","Tesco PLC","Britain's FTSE hits three-week low as financials, Tesco fall","-0.691"
"393","Royal Bank of Scotland Group plc","Trading ExpertBROKER RECOMMENDATIONSUBS ups RBS to 'buy' as it re-initiates coverage on UK banks","0.833"
"394","3G Capital","3G Capital, Warren Buffett's Favorite Partner in Deals Worth Billions","0.247"
"395","Shell","Shell's $70 Billion BG Deal Meets Shareholder Skepticism","-0.345"
"396","GKN","GKN to buy Fokker Technologies for 706 mln euros","0.276"
"397","Mondi","Questor share tip: Mondi shares jump 10pc on strong start","0.789"
"398","Berkshire Hathaway Inc.","Berkshire discloses unit's ties to Iran, opens probe","-0.288"
"399","Rio Tinto","Rio Tinto swings to loss, drops dividend policy","-0.511"
"400","Rio Tinto","Rio Tinto Reaffirms Goal for Iron Ore Output","0.309"
"401","EasyJet","Shares in easyJet fall to three-year low after Brexit profit warning","-0.804"
"402","Shire","Shire share price: Group releases full-year results","0.4"
"403","AstraZeneca","AstraZeneca share price: Company to carve out antibiotic R&D unit into separate ...","0.219"
"404","Barclays","Ex-Barclays Trader Johnson Pleaded Guilty to Libor Fixing","-0.426"
"405","Meantime","SABMiller buys Meantime to quench thirst for craft beer","0.415"
"406","Standard Chartered","Standard Chartered to slash costs as profits plunge 25%","-0.78"
"407","Berkshire Hathaway Inc.","Buffett's Berkshire delivers 9.8% profit growth","0.668"
"408","Rio Tinto","Rio Tinto CEO Sam Walsh rejects fears over China growth, demand","0.114"
"409","Showa Shell Sekiyu","CompaniesShell sells stake in Showa Shell Sekiyu for $1.4bn","-0.036"
"410","RELX Group","Reed Elsevier to rename itself RELX Group","0"
"411","Sotheby's","Sotheby's chairman takes his final sale","-0.06"
"412","Insight","Insight hires Aviva's David Hillier for multi-asset team","0.137"
"413","BG Group","Shell offers 50 percent premium to buy BG for $70 billion","0.393"
"414","Novartis","Novartis buys remaining rights to GSK treatment in deal up to $1 billion","0.217"
"415","AB InBev","AB InBev to sell Peroni and Grolsch","0.256"
"416","Unilever","Unilever posts weaker-than-expected fourth quarter","-0.373"
"417","Morrisons","UPDATE 1-Dairy Crest loses a third of Morrisons milk contract","-0.161"
"418","Emirates","Rolls-Royce Wins $9.2 Billion Order From Emirates Airline","0.724"
"419","ITV","Entertainment One dispels ITV takeover rumours","0.003"
"420","London Stock Exchange Group","NYSE owner ICE considers offer for LSE","0.396"
"421","GSK","Novartis buys remaining rights to GSK treatment in deal up to $1 billion","0.276"
"422","BP","EU drops Shell, BP, Statoil from ethanol benchmark investigation","0.262"
"423","HSBC","HSBC Preparing Job Cuts That May Target 20000 Workers, Sky Says","-0.5"
"424","Transocean","UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","-0.388"
"425","Centrica PLC","PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","0.195"
"426","RBS","RBS bosses ordered to go out and meet small firms","0.1"
"427","AB InBev","AB InBev offers to sell some SABMiller brands","0.207"
"428","Tesco PLC","RPT-UK supermarkets braced for battle as Tesco comes out fighting","0.155"
"429","Glencore","UPDATE 1-Glencore flags sale of some Australia, Chile assets","0.166"
"430","Barclays","Barclays says not been offered deferred prosecution deal by SFO","0.1"
"431","Aviva plc","Aviva promises higher dividends to boost flagging share price","0.281"
"432","AB InBev","Brewer AB InBev seeks $275 bln tie-up with SABMiller","0.278"
"433","London Stock Exchange Group","Intercontinental Exchange Opts Not to Bid for London Stock Exchange","-0.303"
"434","Glencore","Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","-0.26"
"435","HSBC","HSBC Posts Surprise Fourth-Quarter Pretax Loss of $858 Million","-0.756"
"436","Schroders","Earnings surge as fund manager Schroders reports a record year","0.942"
"437","London Stock Exchange","Eurocrat left best-placed to unravel London Stock Exchange deal","-0.352"
"438","AB InBev","Lawmakers worry AB InBev beer deal will hurt craft brewers","-0.033"
"439","Standard Life","StanLife leads FTSE after strong earnings","0.815"
"440","Lloyds Banking Group PLC","Lloyds Banking Group eyes return to dealmaking with MBNA bid","0.365"
"441","SABMiller","Anheuser-Busch InBev Increases Offer for Rival SABMiller","0.24"
"442","Lloyds Banking Group PLC","UK government sells more Lloyds shares, cuts stake to below 12 percent","-0.532"
"443","Kinder Morgan","Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...","0.225"
"444","Tesco","Tesco says UK store closures put 2000 jobs at risk","-0.25"
"445","Tesco","Tesco Versus Sainsbury: Weight-Watcher vs. Bodybuilder","0.213"
"446","Coca-Cola","Buffett talks wind energy, Coca-Cola at Berkshire meeting","0.089"
"447","TSB","TSB boss: Current account switching must be simpler","-0.083"
"448","Barclays","Barclays CEO Staley Says Brexit Slump Caused by Profit Fears","-0.253"
"449","Kingfisher","Retailers Kingfisher and Sports Direct rise in Britain's share index","0.467"
"450","Berkshire Hathaway Inc.","Berkshire Shareholders Pepper Warren Buffett With Some Hard Questions","-0.161"
"451","Royal Dutch Shell","GLOBAL MARKETS-Stocks gain on Royal Dutch Shell bid, oil slumps","0.284"
"452","EasyJet","EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany","-0.013"
"453","AstraZeneca","AstraZeneca says new lung cancer pill Tagrisso approved by EU","0.481"
"454","Barclays","Two former Barclays traders face retrial over Libor","-0.743"
"455","BP","MarketsBP promotes upstream boss to deputy CEO","0.066"
"456","Glencore","Glencore swings to loss, will sell more assets","-0.565"
"457","Shell","Shell to buy BG Group in $69.7 billion takeover","0.25"
"458","Clydesdale Bank","Clydesdale Bank hit with record PPI fine for 'unacceptable' staff lies","-0.707"
"459","Standard Chartered PLC","UK's FTSE climbs to record closing high as Standard Chartered surges","0.763"
"460","BP","US judge rules that BP spill smaller than feared","0.018"
"461","Royal Mail","Royal Mail Revenue Flat As Letters Weakness Offsets Parcels Strength","0"
"462","MillerCoors","AB InBev launches SAB bid, to sell MillerCoors stake","0.053"
"463","ARM Holdings plc","ARM Royalties Accelerate as Smartphone Market Regains Strength","0.571"
"464","Shell","Shell fined by Scottish court for 2011 North Sea oil spill","-0.693"
"465","Glencore","Glencore chief blames rivals' overproduction for share price fall","-0.301"
"466","Valeant Pharmaceuticals International","Ackman, in email, says supports Valeant CEO Pearson","0.166"
"467","GlaxoSmithKline","GlaxoSmithKline's CEO Witty to bow out in March 2017","-0.12"
"468","Standard Life","Standard Life shuts Â£2.9bn property fund after investors rush to withdraw money post-Brexit","-0.706"
"469","Shire","Shire CEO steps up drive to get Baxalta board talking","0.124"
"470","BP","FTSE slide halted by BP's Â£12bn US settlement - London Report","-0.4"
"471","Sainsbury's","Sainsbury's pressed to raise bid for Home Retail Group","-0.012"
"472","NPS","FDA approves NPS drug, in move validating Shire takeover deal","0.364"
"473","Sanofi","Sanofi poaches AstraZeneca scientist as new research head","0.066"
"474","Sanofi","CompaniesSanofi poaches immunology expert from AstraZeneca","0.188"
"475","ITV","ITV to pursue takeover of Canada's Entertainment One: Bloomberg","0.199"
"476","Royal Bank of Scotland Group plc","Broker tips: RBS, Croda, Sage","0.381"
"477","Royal Mail","Royal Mail, Johnson Matthey lead FTSE lower","-0.438"
"478","Whitbread","Industry NewsWhitbread sales sink in fourth quarter on Costa slowdown","-0.562"
"479","Carlsberg","Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...","-0.468"
"480","GlaxoSmithKline","GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults","-0.408"
"481","Financial Times","Report: Financial Times up for sale","-0.052"
"482","Glencore","Glencore raises $2.5bn through share placing to help cut debt load","0.124"
"483","Det Norske","BP joins forces with Det Norske in Norway","0.248"
"484","Rio Tinto","No pay hikes this year at Rio Tinto as mining slump bites","-0.387"
"485","Citigroup","Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...","-0.647"
"486","Apple","Warren Buffett's Berkshire Hathaway buys stake in Apple","0.989"
"487","Croda","Broker tips: RBS, Croda, Sage","0.391"
"488","Deutsche Boerse","London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse","0.29"
"489","Diageo","FTSE steadies around 2-month low Diageo shares surge","0.361"
"490","Lonmin","Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","-0.314"
"491","London Stock Exchange Group","London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse","0.406"
"492","HSBC","We'd support HSBC leaving London, says Standard Life","0.029"
"493","ICE","News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank","0.226"
"494","Tesco PLC","CompaniesTesco bumps up pay for store staff","0.084"
"495","BP","BP pay boss feels the heat from revolt over Dudley's Â£14 million","-0.179"
"496","Barclays","UPDATE 3-Stifel to buy former Lehman brokerage from Barclays","0.149"
"497","BG Group","Shell Plans to Shed 2800 Jobs After Buying BG Group","-0.451"
"498","Old Mutual","Old Mutual to split up, may list some businesses","0.164"
"499","RBS","RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says","-0.2"
"500","Mr Bricolage","CompaniesKingfisher bid for Mr Bricolage runs into trouble","-0.253"
"501","EasyJet","EasyJet to pass on lower fuel prices to customers","0.093"
"502","Tesco PLC","Tesco loses two more directors as Garfield and Tammenoms step down","-0.267"
"503","Royal Bank of Scotland Group plc","The UK Government's Call To Sell Shares In Royal Bank Of Scotland Group plc ...","-0.295"
"504","Prudential","Credit Suisse poaches Prudential's Thiam for Asian push","-0.031"
"505","John Wood Group PLC","Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?","0.103"
"506","Wolseley","Britain's FTSE eyes 7th straight daily rise; Wolseley lags","-0.31"
"507","GSK","EU regulator backs approval for GSK injectable asthma drug","0.379"
"508","Rolls-Royce","Rolls-Royce to Ensure Compliance After Petrobras Bribery Report","-0.075"
"509","London Stock Exchange Group","LSE gets Hong Kong regulatory nod to HK firms to become LSE members","0.247"
"510","Wells Fargo","Warren Buffett's Berkshire adds to favorites IBM, Wells Fargo","0.422"
"511","Severn Trent","Canadian Pension fund Borealis renews pursuit of Severn Trent : report","0.357"
"512","ITV","ITV merger reports boost Footsie stocks","0.42"
"513","Cadbury's","Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit","-0.158"
"514","Wolseley","Wolseley helps lift FTSE from losses","0.47"
"515","AstraZeneca","Novo Nordisk and AstraZeneca seek tonic from key drug trials","0.098"
"516","Saudi Aramco","Saudi Aramco, Shell plan to break up Motiva, divide up assets","-0.142"
"517","Lloyds Banking Group PLC","CommentOpening Quote: pay day moans; profits slump for Lloyds; Mars mission","-0.512"
"518","AstraZeneca","AstraZeneca sells Caprelsa rights to Sanofi unit","0.242"
"519","Wood Group","Industry NewsWood Group wins multi-million dollar contract with BP","0.436"
"520","Royal Mail","Royal Mail and workers' union agree pay deal","0.208"
"521","Lloyds Banking Group PLC","Lloyds wins right to buy bonds back early to save 1 billion pounds","0.369"
"522","Admiral Group plc","Britain's FTSE buoyed by Admiral, building sector gains","0.669"
"523","Tesco PLC","Tesco share price: Brand Guarantee comes under fire","-0.209"
"524","M&G Investments","FTSE led lower by M&S, GlaxoSmithKline","-0.448"
"525","Kingfisher","FTSE edges up as investors cheer Kingfisher results","0.678"
"526","HSBC","HSBC chief hit with tax-avoidance scandal","-0.528"
"527","Lloyds Banking Group","British government stake in Lloyds Banking Group fa","-0.1"
"528","AstraZeneca","AstraZeneca's $727 million play to do away with chemotherapy","0.295"
"529","HSBC","HSBC appoints business leaders to board","0.154"
"530","Diageo","Diageo and Carlsberg hit as Russians suffer from oil price collapse and rouble ...","-0.483"
"531","Deere","Buffett's Berkshire builds Deere stake, dumps Exxon","0.316"
"532","BG Group","BUZZ-BG Group: outperforms sector after record output","0.853"
"533","Mylan","Teva First-Quarter Net Rises 11% Amid Mylan Takeover Battle","0.652"
"534","Citigroup","After Barclays and Bank of America, Citigroup has blockchain in sight","0.224"
"535","G4S","Industry NewsG4S makes 'positive' start to year, no new impairments","0.327"
"536","Morrisons","Morrisons helps FTSE edge higher energy shares slip","0.376"
"537","Old Mutual","Old Mutual share price: Wealth unit seen as blue-chip company","0.666"
"538","Unilever","CompaniesUnilever sales lifted by ice cream in soft economy","0.383"
"539","InterContinental Hotels Group","InterContinental Hotels first-quarter global room revenue lags estimates","-0.329"
"540","Bunzl","Bunzl backs 2015 view, buys more businesses","0.487"
"541","Tesco PLC","Bidders Abandon Auction Of Tesco Data Unit","-0.358"
"542","Shell","EU drops Shell, BP, Statoil from ethanol benchmark investigation","0.276"
"543","Standard Life","Euro zone QE helps Standard Life first-quarter funds boost","0.426"
"544","Smith & Nephew","Smith & Nephew 2015 trading profit beats expectations","0.565"
"545","AstraZeneca","Closely watched AstraZeneca cancer drug fails in mesothelioma","-0.568"
"546","Glencore","Glencore slumps 25 pct as debt fears grow","-0.718"
"547","Petrobras","Rolls-Royce to Ensure Compliance After Petrobras Bribery Report","-0.247"
"548","SABMiller","AB InBev offers SABMiller $3 billion breakup fee","0.197"
"549","Barclays","Barclays Executive Harrison Denies Knowledge of Libor Fixing","-0.24"
"550","Standard Life","Standard Life hit by 'unprecedented' number of calls on pension freedoms","-0.282"
"551","AB InBev","Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle","0.232"
"552","AB InBev","CompaniesAB InBev signals it won't go hostile for SABMiller","0.119"
"553","Meggitt","Meggitt Acquires Cobham Advanced Composites Unit For USD200 Million","0.282"
"554","London Stock Exchange Group","LSE Group names former SEC head Schapiro non-executive director","0.01"
"555","IAG","IAG closes in on Aer Lingus with increased offer","0.246"
"556","Gazprom","US sanctions put Gazprom-Shell alliance plans in jeopardy","-0.353"
"557","Movantik","AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US","0.369"
"558","AstraZeneca","Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...","-0.12"
"559","Barclays","OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong","0.267"
"560","BP","BP agrees to $18.7B penalty for oil spill; the tricky science behind ...","-0.83"
"561","Omnis Pharmaceuticals","AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals","0.295"
"562","London Stock Exchange Group","NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger","-0.2"
"563","Morrisons","Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","0.456"
"564","Compass Group","Compass Group says positive for year ahead","0.634"
"565","Pearson","Pearson expects to return to growth this year","0.238"
"566","Rolls-Royce","Rolls-Royce Wins $9.2 Billion Order From Emirates Airline","0.777"
"567","Unilever","Unilever head's resignation sparks spinoff talk","0.073"
"568","AstraZeneca","AstraZeneca wins US approval for longer use of blood thinner","0.447"
"569","BAE Systems","BAE Systems cuts earnings target for 2015 and 370 jobs","-0.631"
"570","Debenhams","Morrisons and Debenhams surprise City with Christmas bounce back","0.573"
"571","Whitbread","Whitbread to hike prices to offset 'substantial' national living wage bill","-0.122"
"572","Julius Baer","DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ...","0.31"
"573","Hastings Group","CompaniesCar insurer Hastings Group driving Â£180m IPO","0.302"
"574","GlaxoSmithKline","GlaxoSmithKline starts hunt for successor to CEO Witty","0"
"575","National Grid","National Grid's pretax profit rises 15 percent","0.727"
"576","Dixons Carphone","Britain's FTSE steadies, supported by Dixons Carphone","0.329"
"577","CRH","CRH's concrete bid for Holcim Lafarge assets","0.163"
"578","Morrisons","UK's Morrisons in talks to sell convenience stores - source","-0.169"
"579","HSBC","HSBC keeps headquarters in London, rejects move to Hong Kong","0.058"
"580","Standard Life","Shell share price: Standard Life announce position against BG acquisition","-0.099"
"581","SABMiller","EU regulators clear $100 billion-plus AB InBev, SABMiller deal","0.392"
"582","Barclays","Secretive Barclays deal involved Qatari clients","-0.15"
"583","British American Tobacco plc","British American Tobacco first-half sales hurt by currency moves","-0.346"
"584","BHP Billiton","European shares plunge, roiled by BHP and oil; hopes turn to ECB","-0.736"
"585","Tullow Oil","Tullow Oil eyes lower earnings as output falls","-0.48"
"586","Shell","U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","-0.508"
"587","BG Group","BG Group ships first LNG From Queensland Curtis","0.252"
"588","Aberdeen Asset Management","Trading ExpertBROKER RECOMMENDATIONSAnalysts mostly negative on Aberdeen but some see value","-0.345"
"589","Goldman Sachs","MarketsUBS, Goldman Sachs cut metals forecasts","-0.311"
"590","Kingfisher","CompaniesKingfisher bid for Mr Bricolage runs into trouble","-0.313"
"591","Lloyds Banking Group PLC","CompaniesUK government lines up Â£2bn Lloyds retail share sale","-0.24"
"592","ZS Pharma","UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","0.468"
"593","Auto Trader","UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing","0.641"
"594","Standard Chartered PLC","Standard Chartered Will Close Equity Sales and Research Business","-0.243"
"595","National Grid","CompaniesNational Grid lines up sale of gas business","0.136"
"596","BHP Billiton","2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc","0.462"
"597","M&G Investments","Prudential knocked after investors withdraw Â£3.9bn from M&G","-0.778"
"598","Shell","US walrus protections hit Shell's Arctic drilling plan","-0.264"
"599","Severn Trent","Severn Trent Profit Offsets Interest Rate Swap Losses","0.119"
"600","Tullow Oil","CompaniesTullow says gas exports at key field disrupted","-0.274"
"601","AstraZeneca","AstraZeneca bags another cancer drug deal, this time with Inovio","0.259"
"602","Asda","Tesco, Asda sales fall as march of the discounters continues-Kantar","-0.356"
"603","Standard Life","We'd support HSBC leaving London, says Standard Life","0.026"
"604","Severn Trent","Severn Trent profit up as customer complaints fall","0.472"
"605","SABMiller","US dollar wipes out sales gains for SABMiller","-0.582"
"606","AstraZeneca","AstraZeneca digs into precision medicine with lung, heart deals","0.205"
"607","Lloyds Banking Group","Lloyds Banking Group to cut 640 jobs and close 23 branches","0.287"
"608","London Stock Exchange Group","London Stock Exchange Group's quarterly revenue rises 12 percent","0.726"
"609","Barclays","News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank","-0.713"
"610","Dixons Carphone","Dixons Carphone Profit Beats Forecast in First Year Since Merger","0.569"
"611","HSBC","PRESS: HSBC Chairman Hints Bank May Retain UK Domicile - Tel","0.037"
"612","Associated British Foods","Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business","-0.466"
"613","Schroders","Former Schroders trader sentenced to 2 years in prison","-0.555"
"614","Novartis","GSK and Novartis complete deals to reshape both drugmakers","0.264"
"615","Barclays","Barclays Names Mike Bagguley as Chief Operating Officer of Investment Bank","0"
"616","BHP Billiton","BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn","-0.285"
"617","Associated British Foods","Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?","0.119"
"618","Barclays","Barclays hit with record fine as six banks settle forex scandal","-0.771"
"619","Barclays","UK Serious Fraud Office Seeks Retrial of Two Former Barclays Libor Traders","-0.604"
"2","Cuadrilla","Cuadrilla files to delay application to frack in Lancashire","-0.416"
"621","GlaxoSmithKline","GlaxoSmithKline hails progress with lung disease treatment","0.578"
"622","Morrisons","Morrisons escapes FTSE relegation","0.177"
"623","ITV","ITV Acquires 'Poldark' Production Company Mammoth Screen","0.197"
"624","Jefferies","RPT-UPDATE 2-Former Jefferies trader Litvak's conviction overturned","0.1"
"625","Tesco","Tesco Sales Deteriorate Ahead of Crucial Christmas Period","-0.552"
"626","Barclays","Barclays, Credit Suisse strike record deals with SEC, NY over dark pools","-0.896"
"627","TalkTalk","Tesco sells Blinkbox and broadband service to TalkTalk","0.136"
"628","Hammerson","Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts","0.381"
"629","Wells Fargo","UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct","0.432"
"630","Travis Perkins","Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise","0.769"
"631","GSK","GSK reveals strong trial results for shingles drug","0.402"
"632","T-Mobile","Experian says receives class actions related to T-Mobile breach","-0.698"
"633","Shell","Shell shells out over Nigeria oil spill","-0.386"
"634","Tesco","Tesco to pay $12 million to settle US lawsuit","-0.311"
"635","HSBC","FTSE 100 moves lower, but HSBC outperforms","0.513"
"636","Meggitt","Meggitt share price tumbles as profit falls in 'challenging year'","-0.854"
"637","BG Group","BG Group Still Happy With Shell's $70 Billion Offer","0.267"
"638","SABMiller","AB InBev attacks SABMiller bid rebuffal","-0.158"
"639","Aberdeen Asset Management","Aberdeen to raise 100 mln stg to seed new funds","0.337"
"640","Tesco PLC","Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls","-0.41"
"641","Kraft Heinz","The Latest: Buffett says cuts will pay off at Kraft Heinz","0.413"
"642","Glencore","Glencore Studies Possible IPO for Agricultural Trading Business","0.408"
"643","OCBC","OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong","0.257"
"644","Royal Dutch Shell","Gabon Considering Back Tax Penalties Against Royal Dutch Shell","-0.426"
"645","Barclays","Barclays picks ex-JPMorgan exec Staley as new CEO, to start Dec 1","0"
"646","Aviva plc","Insight hires Aviva's David Hillier for multi-asset team","0.107"
"647","Morrisons","Struggling Morrisons pays out Â£3m to sacked boss Dalton Philips â€“ with more to ...","-0.35"
"648","Royal Mail","Government to sell off remaining 14% stake in Royal Mail","-0.607"
"649","United Utilities","United Utilities' full-year underlying operating profit falls 9 percent","-0.417"
"650","Tesco PLC","Tesco to close remaining Homeplus stores in UK","-0.326"
"651","Gen Re","CEO of Berkshire's Gen Re to retire; Jain's role grows","-0.072"
"652","NPS","Morning Agenda: Shire's Deal for NPS","0.193"
"653","WPP","WPP boosts sales despite cautious clients","0.251"
"654","Glencore","Britain's FTSE rises, led up by Glencore surge","0.62"
"655","SABMiller","Brewer AB InBev seeks $275 bln tie-up with SABMiller","0.295"
"656","ITV","Tesco shareholders back ITV head for chairman","0.08"
"657","Kingfisher","Kingfisher takeover of Mr Bricolage could hit a brick wall","-0.261"
"658","Old Mutual","Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets","0.689"
"659","Prudential","UPDATE 2-Prudential will see strong first-half earnings, outgoing CEO says","0.43"
"660","BG Group","Shell challenges Exxon dominance with 47 billion-pound bid for BG","0.3"
"661","RSA Insurance","RSA Insurance Hires Towergate's Egan as Chief Financial Officer","0.021"
"662","GlaxoSmithKline","GlaxoSmithKline heart drug flops in study, shingles vaccine on track","-0.224"
"663","London Stock Exchange Group","ICE Said to Start Lining Up Financing for LSE Bidding War","0.328"
"664","Standard Chartered PLC","FTSE rallies off three-month low, boosted by StanChart, Sainsbury","0.465"
"665","Lloyds Banking Group PLC","Lloyds sells Irish loan portfolio for Â£827m","0.177"
"666","Lufthansa","EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany","-0.227"
"667","SABMiller","Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle","0.236"
"668","BHP Billiton","BHP's iron ore outlook holds little cheer for small miners","-0.43"
"669","Shire","Shire share price under pressure after $32bn Baxalta deal","-0.186"
"670","Pearson","PRESS: Pearson Set To Announce Sale Of Financial Times - Reuters","0.119"
"671","OneMain","Citigroup to Sell OneMain to Springleaf for $4.25 Billion","0.283"
