source,cashtag,sentiment score,id,spans,spans__002,spans__003,spans__004,spans__005
"stocktwits","$DFJ","0.456","38895736","3 Top Japan ETFs To Surge Higher In 2H","","","",""
"stocktwits","$BKEP","0.461","30419243","New bullish conversation activity","","","",""
"twitter","$WLDN","-0.411","719699054645612544","Bottom Losses","","","",""
"stocktwits","$UNG","0.165","30667508","just follow the trend, follow the money flow","","","",""
"twitter","$SAVE","0.219","708351849796083712","Short Squeeze Ready To Upside w Crossing Important Technical Level","","","",""
"twitter","$AGN","0.422","719578962985381888","I'll take the other side of that trade","","","",""
"stocktwits","$PLUG","-0.125","20522452","I love this stock/Co","","","",""
"stocktwits","$ARNA","0.323","7890419","no choice but to be positve","","","",""
"twitter","$ENDP","0.472","719558876123766784","Word on the street is that Allergen is looking at Endo International","","","",""
"twitter","$WYNN","0.489","709499794910109696","buy $WYNN","","","",""
"stocktwits","$TSLA","-0.073","14262688","$TSLA hype the news","sell on news","","",""
"stocktwits","$PNRA","-0.569","9077839","Three black crows followed by a potential bear flag","not looking promising short term","","",""
"twitter","$AA","0.460","719891468173844480","Looking for a strong bounce","Lunchtime rally coming","","",""
"twitter","$ADBE","0.177","719599233280512000","trails $MSFT $ORCL $GOOG $CRM $ADBE","","","",""
"stocktwits","$HIG","0.417","17875968","Stay With Best Of Breed","Has Room To Run","","",""
"twitter","$AGN","0.529","719535506980265984","Nice day rally!","","","",""
"twitter","$TWTR","0.316","711720585143967744","orgetting the potential relative value of its users","","","",""
"twitter","$STX","0.307","719528610630082560","looking goo for 35.80s break out. It must hold 35.40s","","","",""
"stocktwits","$CLF","-0.362","36991184","USIO ops are profitable","","","",""
"stocktwits","$GMCR","0.614","5713736","Bot $GMCR 75 Nov Call","","","",""
"twitter","$BABA","-0.317","719680445550587904","Reasons for caution about Chinese stocks","","","",""
"twitter","$FIT","0.525","708396324710785024","outperforms","","","",""
"stocktwits","$BA","-0.493","13534209","earish Trader bets $550K that Stock Will Sell Off","","","",""
"stocktwits","$QIHU","-0.494","14850402","congrats shorts","","","",""
"stocktwits","$CREE","0.316","21382309","Downbeaten stocks may be ripe for buys","","","",""
"stocktwits","$DNN","0.653","18479024","picked some up","like this going into 2014","","",""
"stocktwits","$IO","-0.351","5679790","Worst performers today"," $MGM $IO -6%","","",""
"twitter","$GOOGL","-0.319","710094676188127232","nt done good with that name so will pass it","","","",""
"stocktwits","$ARNA","-0.430","10421113","its been nothing but down","","","",""
"stocktwits","$PDS","0.457","39047668","Bullish MA Crossovers","","","",""
"stocktwits","$SPY","-0.652","36710496","player onto the 211 puts","","","",""
"stocktwits","$MNKD","0.290","15108978","Someone wants in","","","",""
"stocktwits","$PCLN","0.308","5561391","$pcln back over 'up' trendline","","","",""
"stocktwits","$ECHO","0.448","28165236","Found some good bull setups this week","","","",""
"stocktwits","$LVS","-0.404","13865641","is just humming easing overbought","","","",""
"stocktwits","$DGAZ","0.165","30667508","just follow the trend, follow the money flow","","","",""
"stocktwits","$PLX","0.128","7810443","is up 19%","","","",""
"twitter","$LM","0.454","708355634857529344","Sector Stocks Leading Today","","","",""
"stocktwits","$JCP","-0.335","13024560","Ron Johnson tried, and failed, to inject a bit of Apple culture into JC Penney","","","",""
"stocktwits","$GMCR","0.000","13703137","not the prettiest candlesticks","no signs of gap fill yet","","",""
"stocktwits","$SINA","-0.375","11156682","agree risky watching very closely","","","",""
"stocktwits","$FB","0.724","33097782","breakout from the consolidation zone","bot some @","","",""
"twitter","$TSLA","-0.114","719582195468398592","Took Small posistion on $TSLA","","","",""
"twitter","$SRPT","-0.546","719554180172500992","flop would just get everyone running to the fences.","","","",""
"twitter","$LVS","0.421","709777793798656000","Unusual Call Activity","","","",""
"twitter","$ISRG","-0.479","710193993833975809","Worst #sentiment for #SP1500 #stocks at market close","","","",""
"stocktwits","$PCRX","-0.339","27109636","new squeeze plays","","","",""
"stocktwits","$SPY","-0.148","26160853","people are calling it bearish","Some heading for exits already","","",""
"twitter","$SQ","0.325","719857924017885184","long $SQ","LONG 3300 SQ","","",""
"stocktwits","$CMG","-0.219","14736590","Fader play here","","","",""
"stocktwits","$XLU","0.647","6061294","all sectors improved in bullish breadth.","","","",""
"twitter","$DHR","0.428","708410688230842368","top-rated","","","",""
"stocktwits","$BLRX","-0.516","39047349","Stochastic Overbought","","","",""
"twitter","$TCEHY","0.383","709776718026768385","China February Retail Sales: E-Commerce Remains Resilient","","","",""
"twitter","$LB","0.383","709776718026768385","China February Retail Sales: E-Commerce Remains Resilient","","","",""
"stocktwits","$GOOG","0.373","13279906","Large cap tech is finally trying to catch up with the rest of the market","","","",""
"twitter","$TSLA","-0.626","719571943767281664","Stock dropping hard...","","","",""
"twitter","$TSLA","0.198","719571381260722176","Recall will not impact financial results","","","",""
"twitter","$FB","0.390","719895652793249792","","","","",""
"stocktwits","$ATHX","-0.263","32903201","very weak res","","","",""
"stocktwits","$UGAZ","0.454","25576950","gap up today? ","they say the heat is coming","","",""
"twitter","$HSIC","0.428","708410688230842368","top-rated","","","",""
"stocktwits","$SKX","0.298","5564467","Coming from far could go far","Stock price implies you pay nothing for the business","","",""
"stocktwits","$FB","0.484","29352447","LNKD is great but doesnt the potential side with Fb","","","",""
"twitter","$ENDP","0.570","719557551491321856","Long $ENDP @ $26.23 on $AGN b/o rumor","","","",""
"stocktwits","$WRES","0.543","38330201","oil back above 60","","","",""
"twitter","$EBAY","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"stocktwits","$AAPL","-0.312","15960926","gist of downgrades was apple failed to make a phone th","","","",""
"stocktwits","$RIGL","0.378","12857945","Another 3% gain in $RIGL","following last week's huge call buying in the Apr","","",""
"twitter","$STX","0.334","719507659741872128","$STX","Higher","","",""
"stocktwits","$FB","-0.285","8067736","$GRPN having a much better day than $FB","","","",""
"stocktwits","$CAT","0.433","5441240","stocks insiders are bullish on","","","",""
"twitter","$AAPL","0.367","709820978927370242","hipments on track to exceed forecasts","","","",""
"twitter","$ULTA","0.450","719577031227404288","LVMH affordable #luxe doing just fine helped by duty-free & confident mainstream shoppers","","","",""
"stocktwits","$SPY","0.114","5866562","cover all","","","",""
"stocktwits","$TSLA","-0.405","30683869","SS interest rose on 12/15 on day before we hit our lows. http://stks.co/c1QKr","","","",""
"twitter","$CELG","0.408","719909604654624768","Most bullish stocks on Twitter during this dip","","","",""
"stocktwits","$FCX","-0.327","7170859","$FCX 1.9% now","March $36 puts now +8.33%","","",""
"twitter","$MCD","0.322","719888646241955840","First quarter is amazing","","","",""
"twitter","$SAP","-0.431","719599233280512000","$SAP Q1 disappoints as #software licenses down","Real problem?","","",""
"twitter","$PANW","-0.317","719652260322476032","Today's losers","","","",""
"twitter","$LOW","0.368","710143603524427777","looking for a sharp move up in equities","","","",""
"stocktwits","$FCX","0.511","10893993","gap fill coming up","","","",""
"twitter","$AMZN","-0.380","710221245716021248","Report: Apple signs up for Google's cloud","uses much less of Amazon","","",""
"twitter","$FB","0.539","719610624699838464","$FB TO $107 TOMORROW!?","Show me the $$$","","",""
"twitter","$CTRP","0.337","719533807897047040","over 225 million new Internet users are being added globally every year","","","",""
"twitter","$BABA","0.329","710127113127530496","Covered Call","","","",""
"twitter","$TQQQ","0.660","719535349379284992","Long","buying point","","",""
"twitter","$UNP","0.441","719947639408603136","I've been picking up railroad stocks for the retirement acct","","","",""
"stocktwits","$DRYS","0.397","15537605","when there is turmoil in the MENA region shippers perform","","","",""
"twitter","$ISRG","0.119","710793306100228096","Going back in, but slowly","","","",""
"twitter","$ENDP","-0.391","719651371025235968","down 12% since I alerted it a short sell on 3-25","","","",""
"stocktwits","$SPPI","0.395","7344888","Bet the farm on","","","",""
"twitter","$YHOO","0.413","719487110235963392","Interest Heats Up for @Yahoo $YHOO","","","",""
"stocktwits","$AAPL","-0.223","11635675","the parties over","volatility is back","","",""
"twitter","$JPM","0.314","719599977480253440","Stocks Higher In Afternoon Trade","","","",""
"twitter","$CERS","0.348","719614954500857856","Highest call to put ratio","","","",""
"twitter","$INTC","0.447","719919514050105344","Apparently Intel thinks women should get paid the same as men","$INTC Gender Pay Parity at 100%","","",""
"stocktwits","$GS","-0.597","12234095","$GS is looking weak while this market is moving higher not a good sign","","","",""
"stocktwits","$CPST","0.426","23386645","1Mil Buy order at","","","",""
"stocktwits","$ELOS","0.376","14584620","top stocks","","","",""
"twitter","$ATVI","0.414","710620435121971200","Top Stocks in 2015 are Ready to Lead Again in 2016","","","",""
"stocktwits","$DIS","0.240","7873895","640m globally this week on avengers really sick ,Stan lee is a beast","","","",""
"twitter","$HZNP","0.226","719573068864032768","plus its Irish based"," getting rid of its generic biz","","",""
"twitter","$ENDP","0.646","719557136292847616","In","","","",""
"stocktwits","$CVS","0.468","5795737","13F Shows New Stakes in ","","","",""
"stocktwits","$UNG","0.446","25576950","gap up today? ","they say the heat is coming","","",""
"twitter","$ATU","0.352","719665168431456256","Breakout watch","","","",""
"twitter","$DY","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"stocktwits","$NSPH","0.095","33361082","getting a lot of hype","","","",""
"twitter","$GOOG","0.291","719567543476817920","Court tells states to leave $GOOG alone","","","",""
"stocktwits","$VMW","0.280","36727619","Got a nice push today","","","",""
"stocktwits","$ENSG","-0.460","37524115","Unloaded $16,673 Worth of The Ensign Group, Inc. (NASDAQ:ENSG) Shares","","","",""
"stocktwits","$JBL","0.257","8398336","$23 by the end of the week..did you snatch ur 21","","","",""
"stocktwits","$NBIX","0.538","6230469","continues its rally","","","",""
"stocktwits","$YNDX","-0.170","32968483","it With Lawsuit from Russian Search Engine","","","",""
"twitter","$ENDP","0.406","710594321481801728","#oversold","","","",""
"twitter","$IBB","0.580","710843355966652416","have had 2 wks of fund inflows for the first time","","","",""
"twitter","$MU","-0.469","719935795965071360","MU down 2.3% today and down 8.9%","","","",""
"twitter","$XLP","0.336","711907079296933888","Unusual call buying","","","",""
"stocktwits","$KO","0.646","28162967","$KO:US #COCA-COLA CO 19Oct Positive","","","",""
"stocktwits","$SWY","-0.515","9942259","Sales weak","margins down","debt still way up","",""
"twitter","$CTRP","0.598","719745272515956736","just broke resistance","#redtogreen","#breakout","right out of the gate tomorrow morning",""
"stocktwits","$FFIV","0.320","6161405","$FFIV up 7$","","","",""
"stocktwits","$CHRW","0.437","6282743","bot $CHRW","","","",""
"twitter","$TSLA","0.504","719545434214113280","Break-out thru 50 & 200- DMA","Short squeeze in progress","","",""
"twitter","$AAPL","0.523","709787692263940098","now up 2.2%","Still holding","","",""
"stocktwits","$SIGA","-0.354","6137296","Bid for Reargument Denied by Judge","","","",""
"stocktwits","$TZA","0.274","12196849","with upcoming first support in a few days or weeks!","","","",""
"twitter","$CAFN","0.418","708381020765052928","$CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26%","","","",""
"twitter","$TSLA","0.318","719534236076609536","lots of green on the 5 min","","","",""
"stocktwits","$YHOO","0.320","30855388","looking to buy","","","",""
"stocktwits","$YHOO","-0.296","6117808","I don't think is the right fit","","","",""
"stocktwits","$DUG","0.702","5817518","stochastics finally starting to turn up","Buying here","","",""
"twitter","$BAC","-0.389","719530996681568256","Another Sell Rating","","","",""
"stocktwits","$OII","1.000","6704349","Very nice breakout on a very nice stock","","","",""
"twitter","$FB","0.348","719914922310643712","launching shopping bot","catalyst2016","#catalyst2016","",""
"twitter","$IBM","0.415","710792713709309952","Buy these 3 stocks while there's blood in the streets","","","",""
"twitter","$DJIA","0.334","719844737478496256","Goldman Sachs reiterates conviction buy on","","","",""
"stocktwits","$BBRY","-0.383","15359878","losers","no profit","so sad","",""
"stocktwits","$VRTX","0.368","39049974","Long term uptrend intract so far","","","",""
"twitter","$TIF","0.216","709731726726193152","the most trending","","","",""
"twitter","$GERN","0.000","711745824884187136","","","","",""
"twitter","$FB","0.154","719524924046581760","Will be adding on dips","","","",""
"twitter","$AMZN","0.513","719515579372077056","Added long at friday close","","","",""
"twitter","$AAPL","-0.015","710491410789752832","losing $400M of $AAPL's business","","","",""
"twitter","$ANIK","0.406","710594321481801728","#oversold","","","",""
"twitter","$GOOG","0.364","719914872062877696","Picking up a couple shares of $GOOG today","","","",""
"stocktwits","$JRJC","-0.533","25995078","My broker has no shorts who has them?","","","",""
"stocktwits","$JWN","0.315","8582567","sales numbers still holding up so well","igh end might not be a concern after all.","","",""
"stocktwits","$BIDU","-0.524","5409344","trying to drag $bidu with it.","","","",""
"twitter","$GOOG","0.337","719533807897047040","over 225 million new Internet users are being added globally every year","","","",""
"twitter","$SBUX","-0.446","719839353325756416","downgraded to neutral at Deutsche Bank","Price target reduced","","",""
"twitter","$YHOO","0.432","719545488702177280","Five Stocks that Helped Starboard Values Equity Portfolio Return 6.5% in Q1","","","",""
"stocktwits","$AAPL","0.285","6186217","buy zone today","take swing trade profits","","",""
"stocktwits","$FB","0.355","29293945","big picture is BRILLIANT","Boy-wonder visionary Zuck!","","",""
"stocktwits","$AAPL","0.190","8018247","bounce right now has no vol, more vol when it slid","","","",""
"stocktwits","$UNXL","-0.426","14080257","another story stock with an unhappy ending","","","",""
"twitter","$STX","0.648","710832265488699401","Love it","#bullish","","",""
"twitter","$GDX","0.408","719909604654624768","Most bullish stocks on Twitter during this dip","","","",""
"twitter","$FB","0.326","719513950765891584","Mark Zuckerberg is doing an amazing job","","","",""
"stocktwits","$PRTA","0.447","34349961","today's top gainers","","","",""
"stocktwits","$CYTK","-0.210","10165953","has had a history of a lack of PR","shame for investors","","",""
"stocktwits","$IBD50","0.371","19869247","closed Friday with the RS line in new highs","","","",""
"stocktwits","$SPY","-0.850","6181018","look out belooooooowwww","","","",""
"twitter","$INTC","0.328","719581208120844288","whole Semiconductor space looks interesting","","","",""
"stocktwits","$BRCM","0.241","37477128","To Combine In $37 Billion Deal","","","",""
"twitter","$YHOO","0.318","719574376832741376","peaks above HOD","","","",""
"stocktwits","$FB","0.358","10179694","Problem for shorts","every fund out there will want to buy this thing on a a pullback","","",""
"stocktwits","$FDX","0.680","6140513","awesomely bullish stocks","","","",""
"twitter","$NFLX","0.228","719940431799328768","There is a good base building","","","",""
"twitter","$WBAI","-0.438","709834259687710720","Biggest Market Losers","","","",""
"twitter","$EGO","0.348","719614954500857856","Highest call to put ratio","","","",""
"stocktwits","$QQQ","-0.059","13043762","SOLD to close $QQQ puts for +34%","","","",""
"twitter","$ATVI","0.323","719501793546346496","ooks pretty bullish for now","","","",""
"twitter","$CSCO","0.579","719923942840999936","looks really interesting on drop","grabbed some options and stock","enough tme before earnings to grow the stock","growth all sectors",""
"twitter","$TSLA","0.294","719930402757046272","covered some shorts","","","",""
"stocktwits","$OCZ","0.483","6427709","Add to","","","",""
"twitter","$TSLA","0.028","719590458301632512","triple top forming.","","","",""
"stocktwits","$AAPL","-0.441","5456001","will end up selling for pennies on the dollar","","","",""
"twitter","$AMZN","0.678","719513347268427776","looking sexy this morning","break on volume","","",""
"twitter","$WFM","-0.076","708439895455322112","Whole Foods shareholders vote down activist initiatives","","","",""
"stocktwits","$AAPL","0.240","5512311","Imagine $AAPL TV impact!! $$$","","","",""
"stocktwits","$LUV","0.106","38113800","Southwest Is at Its Lowest Multiple Ever","","","",""
"twitter","$FB","-0.387","711188521487372288","Still too early for an entry","","","",""
"stocktwits","$SHO","0.498","29695868","Moved Upper Bollinger Band","","","",""
"twitter","$AXP","0.087","719585607215808512","Today I bought more","","","",""
"stocktwits","$AAPL","-0.429","5499624","won't have anyone buying products","","","",""
"twitter","$BBY","-0.464","709779449663721472","Short Setups Looking Nice....Really Nice","","","",""
"twitter","$SBUX","0.377","719910804804542464","still long term fan!","","","",""
"twitter","$GOOG","0.318","719619360973844480","What a nice reversal.","","","",""
"twitter","$TRIP","0.470","709401937465233408","TripAdvisor jumps on M&A rumors","","","",""
"twitter","$TSLA","-0.336","719601635639492608","$TSLA Recalls 2,700 Model X Vehicle","Shares Volatile","","",""
"stocktwits","$FAZ","0.384","6203155","Long tech","calls","","",""
"twitter","$CTRP","0.448","719500715463458816","Breakout Should be Confirmed","Upturn","","",""
"twitter","$AAPL","0.376","719541888940957696","Best performers","","","",""
"twitter","$VALE","-0.406","719693052797980672","very tight on the avail stock for shorting","","","",""
"twitter","$WFM","0.415","710459573761662976","get into $WFM and $MJN","","","",""
"stocktwits","$DVAX","-0.516","39047349","Stochastic Overbought","","","",""
"stocktwits","$XLF","-0.299","5948586","Bounced off target buy area","","","",""
"stocktwits","$NEON","0.430","37635102","oversold","","","",""
"stocktwits","$NFLX","-0.341","14386410","double top reject","","","",""
"stocktwits","$AAPL","0.470","7764961","Added.","Bounce off of","for ride to","",""
"twitter","$HOT","0.419","708680512232001537","working on Cuba deals","","","",""
"stocktwits","$GS","0.316","7211448","Dividend Hike Green Light","","","",""
"stocktwits","$BNFT","0.322","25330712","I am excited about all these plays","","","",""
"stocktwits","$SPY","-0.376","17806735","commodity weakness","","","",""
"twitter","$FB","0.352","719533870702440448","$fb small flong 109.25 via calls","","","",""
"stocktwits","$EBAY","0.452","6901519","had a nice breakout of the recent consolidation","","","",""
"stocktwits","$GS","-0.541","31615895","sells flat..I am out..","","","",""
"twitter","$CUBA","0.405","719547552874512384","Airplane And Hospitality Industries Set Their Sights On #Cuba","","","",""
"stocktwits","$XOM","0.279","5364581","reserves are in decline","","","",""
"stocktwits","$IWM","-0.030","24423708","this pull back of","","","",""
"twitter","$CA","0.365","719849703106551808","Pie In The Sky","","","",""
"twitter","$RIG","0.322","719888646241955840","First quarter is amazing","","","",""
"twitter","$KR","0.129","709765994416365568","$TFM will have a way to go price wise to compete with Kroger. $KR","","","",""
"twitter","$HAR","0.454","708355634857529344","Sector Stocks Leading Today","","","",""
"stocktwits","$MELI","0.452","6006891","biggest St50 gainers","","","",""
"stocktwits","$GLD","-0.501","6148018","Bears Take a Clear Near Term Advantage","","","",""
"twitter","$AKAM","0.241","719927785167265792","Will A Onetime Zombie Stock Rise Again?","","","",""
"stocktwits","$CS","0.200","13796141","today's bull flag","","","",""
"twitter","$AAPL","0.395","719565319522484224","iPhone SE Could Be Doing Better Than Expected","","","",""
"twitter","$TJX","0.458","710514534876721152","Now up to 200 stocks making new 52 week highs","","","",""
"stocktwits","$AMZN","-0.621","6119064","Would short $AMZN on any rally","","","",""
"twitter","$VRX","-0.643","710236272896430080","after losing about $1 billion on $VRX?","","","",""
"stocktwits","$CAT","0.586","5514207","$CAT +5.10%","","","",""
"twitter","$AAPL","0.562","708417635348652032","The Top 10 brands for #millennials - $AAPL is #1, and $FB is way off the list at #65.","","","",""
"twitter","$WDC","0.310","719583624476160000","looking tasty","","","",""
"stocktwits","$CNP","0.361","15259761","Sell Short Position on","","","",""
"twitter","$QQQ","0.529","719535506980265984","Nice day rally!","","","",""
"stocktwits","$LF","-0.482","9447486","damn me and low priced stocks","","","",""
"stocktwits","$SPY","-0.268","24972160","Spy the bubble is in stock buy backs","","","",""
"stocktwits","$QQQ","-0.541","39025868","SELL signal by $NDX internals","technical SELL","","",""
"twitter","$TSLA","-0.209","719640388731068416","Bullshit","","","",""
"stocktwits","$X","0.144","5514207","$X +2.27%","","","",""
"twitter","$SNE","-0.007","711967372190552064","this is what you get","","","",""
"twitter","$EDIT","0.448","719629586808573952","Another one to add, already happily holding","","","",""
"stocktwits","$AMZN","0.418","5849492","RSI is down at 20","","","",""
"twitter","$BABA","0.233","719527100584226816","$BABA is going to be an interesting one","","","",""
"stocktwits","$CF","0.315","16081190","","","","",""
"stocktwits","$IFON","0.380","22409313","Buy the dip'","","","",""
"twitter","$GOOGL","0.288","708446069856669697","There's no reason why $GOOGL can't get back to $1,000","","","",""
"twitter","$CVEO","-0.453","711745824884187136","short","","","",""
"stocktwits","$SOX","0.308","7399381","Equity indexes working on a positive engulfing for March","","","",""
"twitter","$GALE","0.348","719614954500857856","Highest call to put ratio","","","",""
"stocktwits","$BRENT","-0.369","29685449","Oil slid to a four-year low after","#OPEC kept its oil production unchange","","",""
"stocktwits","$NVDA","0.000","5601699","sideways","","","",""
"twitter","$XLI","0.421","709777793798656000","Unusual Call Activity","","","",""
"stocktwits","$EL","0.242","21856695","green, lol... make-up to cover ugliness","","","",""
"twitter","$FB","0.328","709758232668020736","slight green","May be runner later","","",""
"twitter","$YHOO","0.372","719520383699824640","Pivotal sees 27% upside for Alphabet","","","",""
"twitter","$YHOO","-0.350","719631234163482624","refuse","worst decisions ever","","",""
"stocktwits","$APPL","0.559","6234119","profitable hard and software","product innovator","","",""
"twitter","$MSFT","0.225","709435568510377984","$MSFT is opening up its #XboxLive online service","","","",""
"twitter","$NFLX","0.268","710548609532608512","here we gooo","","","",""
"stocktwits","$BAC","-0.312","22410478","sold my 81 calls","","","",""
"stocktwits","$AAPL","-0.105","36262041","at resistance right here","sold my shares","","",""
"stocktwits","$CELG","0.171","11465126","Holding","","","",""
"twitter","$GEVO","0.392","719864087132442624","Gevo Alcohol to Jet Fuel Now Eligible to be Used for Commercial Flight","","","",""
"twitter","$AMKR","0.503","719866128546181120","stocks at support w/ high trade quality","","","",""
"stocktwits","$TSLA","0.206","17782586","finally broke free from big brother's shadow?","","","",""
"stocktwits","$UNXL","0.478","13391009","I like this Ascending Triangle","Breakout coming Monday","Looks promising","",""
"twitter","$FAST","-0.625","719635481772834816","I'd be short $fast","","","",""
"twitter","$CHK","0.273","719517217247735808","In Play Longs","","","",""
"twitter","$DWTI","0.216","709731726726193152","the most trending","","","",""
"twitter","$TSCO","0.383","719807125648764928","Supermarket Stocks Rally as Tesco Plans to Axe Non-core UK Assets","","","",""
"stocktwits","$KRE","-0.381","10989058","out of $KRE","","","",""
"stocktwits","$CRK","0.668","34147106","time to accumulate for a long position","far more upside than downside","","",""
"stocktwits","$XLY","0.025","13915103","No edge offered","","","",""
"twitter","$VLO","0.666","710211237058093056","Oil To Break Out","Adding Chevron","","",""
"stocktwits","$AGN","0.448","28165236","Found some good bull setups this week","","","",""
"stocktwits","$AMZN","0.528","5771422","Sets Up for Breakout","","","",""
"stocktwits","$LPSN","0.000","14011454","Something big is gonna happen here","","","",""
"twitter","$NFLX","0.452","719923951174955008","winning pick this week","","","",""
"twitter","$AMAT","0.472","719519249778229248","calls","popping 5%","Stock +1%","",""
"stocktwits","$YANG","0.230","35467963","Double bottom 5.2","","","",""
"stocktwits","$HZNP","-0.274","10524642","lets see one more dip","","","",""
"stocktwits","$VXX","0.219","8335537","consistent gains but small","one of my favorite trade","","",""
"twitter","$FB","0.511","709714268359229440","on cusp of a major bollinger breakout on daily","sitting right on its 200 day EMA the force is too strong","squeeze the shorts","",""
"stocktwits","$PRLB","0.394","7526863","hanging tough in down market due to analyst upgrades","Up almost 3%","","",""
"stocktwits","$KOL","0.362","25043071","Coal stocks are poking their head up","very nice weekly candle","","",""
"stocktwits","$TBT","0.581","5707322","Still holding","","","",""
"stocktwits","$SPY","0.421","8899188","is exceptionally bullish for Romney, the mkt, and the economy.","","","",""
"twitter","$LBTYA","0.357","708392446166765568","Mid-single digits EBITDA growth","","","",""
"stocktwits","$CAT","0.586","6550175","posts 60 percent jump in 4Q profit","steep global sales increase","tops Wall St. view","",""
"stocktwits","$BTU","0.437","8143037","Loving BTU and the coal stocks in here","","","",""
"stocktwits","$VXX","0.000","6981073","watching paint dry","low volatility","","",""
"stocktwits","$AAPL","0.198","14004893","Fundamentally nothing has changed","","","",""
"stocktwits","$EEM","-0.325","5277098","Stares Into the Abyss","","","",""
"stocktwits","$NOK","0.283","25341716","Smartphone Wars Wound Samsung","","","",""
"stocktwits","$AAPL","0.252","5823499","where the growth is","not a High P.E. stock","","",""
"twitter","$ADSK","0.476","710101981482913792","long this morning","","","",""
"stocktwits","$AXDX","-0.334","25825005","took my proprietary profit exit","didn't like the option liquidity","ousy spreads","",""
"twitter","$MSFT","0.012","719631234163482624","$YHOO refuse of $MSFT offer of 45 B is going to go down as one of the worst decisions ever.","","","",""
"stocktwits","$AAPL","0.279","6532308","has gained an average of 0.9% a week for the last nine years","","","",""
"stocktwits","$GWR","0.041","8562689","eyeing $RA w take-over interest","","","",""
"twitter","$BWLD","0.408","719549571924422656","added to our $GILD position","started a new one in $BWLD","","",""
"twitter","$COST","0.557","711911471660183552","Investor long-term stock recommendation","","","",""
"stocktwits","$FXI","0.316","28428726","EPS growth is around 12% so far","","","",""
"stocktwits","$FB","0.342","14873237","easonably priced high growth institutional fave glamour name that is going at least 30% higher","","","",""
"stocktwits","$NSP","0.769","33818248","Bull Of The Day","","","",""
"stocktwits","$GILD","0.328","36514212","Let's go up Gilead","","","",""
"stocktwits","$VXX","-0.374","5835477","European Debt once again Keeps Stocks Down","","","",""
"stocktwits","$SPX","0.342","5721348","Nice little cup-and-handle shaping up","favours a good day for the index","","",""
"stocktwits","$LC","0.058","39031834","bail out","","","",""
"twitter","$PRLB","-0.506","719528681605959680","I dumped $PYPL and $PRLB","","","",""
"twitter","$AIG","0.426","710965451677827073","Top #NetPayoutYields","","","",""
"stocktwits","$S","0.211","5358046","CFO Sees Profitability From","Cash Flow Positive From","","",""
"stocktwits","$AAPL","0.269","24290516","Price Target Raised","","","",""
"stocktwits","$ONCY","-0.453","37878654","So sad to see such a loved company eating dirt.","","","",""
"stocktwits","$IBIO","0.309","7810443","is up 19%","","","",""
"twitter","$GOOGL","0.356","719940405341499392","have cash to burn.","","","",""
"stocktwits","$SAN","0.316","21382309","Downbeaten stocks may be ripe for buys","","","",""
"stocktwits","$AAPL","0.035","5351257","Strictly day trading this one long and short off 5 minute","","","",""
"twitter","$MIL","0.306","719950370294792192","Aggressive Buy","","","",""
"stocktwits","$MSFT","0.444","6356178","Long","favorite covered call","double dip dividend play.","touting",""
"stocktwits","$TZOO","0.308","6132488","close above 28.64","we are ready to rock and roll","","",""
"stocktwits","$UGAZ","-0.237","32704588","Will this cold put a dent in the massive horizontal rig production","","","",""
"stocktwits","$SSRI","0.394","5704829","Long","look like a 5-10% run awaits","","",""
"stocktwits","$CMI","0.000","5704210","Over the TL it can go to 114, below it can go to 90.","","","",""
"stocktwits","$BSMX","0.417","11465126","accumulating more $BSMX on any pullback","","","",""
"twitter","$AAL","0.638","719904304207962112","record number of passengers served in 2015","","","",""
"stocktwits","$QIHU","0.236","30087971","then trail up.","","","",""
"twitter","$AAPL","-0.329","709737853639663617","Bullshit! All #AppleStores are EMPTY in #China","","","",""
"twitter","$SON","-0.463","719520125582503936","downgrade","","","",""
"twitter","$CSX","0.468","708401238879109122","another strong rail today after breaking intraday resistance","","","",""
"twitter","$NFLX","0.275","719579764403650560","Heard Netflix is raising its prices. It's all good it's worth it though","","","",""
"stocktwits","$BBRY","0.036","13160115","yet not that much (price) has changed","","","",""
"stocktwits","$WM","0.433","5441240","stocks insiders are bullish on","","","",""
"stocktwits","$IWM","-0.443","6139459","Markets Are Still Acting Weak","","","",""
"twitter","$QCOM","0.426","710965451677827073","Top #NetPayoutYields","","","",""
"stocktwits","$TSLA","0.346","12912068","S1 above gap. keeping an eye on S2","","","",""
"stocktwits","$CNDO","-0.503","16475865","shorts likely to take profits into close","","","",""
"stocktwits","$GS","-0.093","5879852","I see no reason to sell yet","","","",""
"twitter","$MAT","0.325","719520758251147264","ripping early","","","",""
"stocktwits","$CAT","0.135","5376561","Keeping my stops a bit on the tight side","","","",""
"stocktwits","$HSC","0.497","5879468","Receives 7-Year, $50M Contract","","","",""
"stocktwits","$SSYS","-0.453","35847223","splat! poor Q1 orders","","","",""
"stocktwits","$GST","-0.420","30827588","With Oil Prices Down further, Oil Stocks Looking Less Cheap","","","",""
"stocktwits","$ERO","0.259","36319076","Finding Support","","","",""
"stocktwits","$OCN","0.000","34643450","","","","",""
"stocktwits","$INO","0.406","39049208","","","","",""
"twitter","$GOOGL","0.393","719579550972129280","$GOOGL patents turn signal detector for autonomous cars.","","","",""
